supereon,eon,era,period,epoch,age,start_mya,uncertainty
,Phanerozoic,Cenozoic,Quaternary,Holocene,Meghalayan,0.0042,
,Phanerozoic,Cenozoic,Quaternary,Holocene,Northgrippian,0.0082,
,Phanerozoic,Cenozoic,Quaternary,Holocene,Greenlandian,0.0117,
,Phanerozoic,Cenozoic,Quaternary,Pleistocene,Late ('Tarantian'),0.129,
,Phanerozoic,Cenozoic,Quaternary,Pleistocene,Chibanian,0.774,
,Phanerozoic,Cenozoic,Quaternary,Pleistocene,Calabrian,1.8,
,Phanerozoic,Cenozoic,Quaternary,Pleistocene,Gelasian,2.58,
,Phanerozoic,Cenozoic,Neogene,Pliocene,Piacenzian,3.6,
,Phanerozoic,Cenozoic,Neogene,Pliocene,Zanclean,5.333,
,Phanerozoic,Cenozoic,Neogene,Miocene,Messinian,7.246,
,Phanerozoic,Cenozoic,Neogene,Miocene,Tortonian,11.63,
,Phanerozoic,Cenozoic,Neogene,Miocene,Serravallian,13.82,
,Phanerozoic,Cenozoic,Neogene,Miocene,Langhian,15.97,
,Phanerozoic,Cenozoic,Neogene,Miocene,Burdigalian,20.44,
,Phanerozoic,Cenozoic,Neogene,Miocene,Aquitanian,23.03,
,Phanerozoic,Cenozoic,Paleogene,Oligocene,Chattian,28.1,
,Phanerozoic,Cenozoic,Paleogene,Oligocene,Rupelian,33.9,
,Phanerozoic,Cenozoic,Paleogene,Eocene,Priabonian,37.8,
,Phanerozoic,Cenozoic,Paleogene,Eocene,Bartonian,41.2,
,Phanerozoic,Cenozoic,Paleogene,Eocene,Lutetian,47.8,
,Phanerozoic,Cenozoic,Paleogene,Eocene,Ypresian,56,
,Phanerozoic,Cenozoic,Paleogene,Paleocene,Thanetian,59.2,
,Phanerozoic,Cenozoic,Paleogene,Paleocene,Selandian,61.6,
,Phanerozoic,Cenozoic,Paleogene,Paleocene,Danian,66,
,Phanerozoic,Mesozoic,Cretaceous,Late,Maastrichtian,72.1,0.2
,Phanerozoic,Mesozoic,Cretaceous,Late,Campanian,83.6,0.2
,Phanerozoic,Mesozoic,Cretaceous,Late,Santonian,86.3,0.5
,Phanerozoic,Mesozoic,Cretaceous,Late,Coniacian,89.8,0.3
,Phanerozoic,Mesozoic,Cretaceous,Late,Turonian,93.9,
,Phanerozoic,Mesozoic,Cretaceous,Late,Cenomanian,100.5,
,Phanerozoic,Mesozoic,Cretaceous,Early,Albian,113,
,Phanerozoic,Mesozoic,Cretaceous,Early,Aptian,125,
,Phanerozoic,Mesozoic,Cretaceous,Early,Barremian,129.4,
,Phanerozoic,Mesozoic,Cretaceous,Early,Hauterivian,132.9,
,Phanerozoic,Mesozoic,Cretaceous,Early,Valanginian,139.8,
,Phanerozoic,Mesozoic,Cretaceous,Early,Berriasian,145,
,Phanerozoic,Mesozoic,Jurassic,Late,Tithonian,152.1,0.9
,Phanerozoic,Mesozoic,Jurassic,Late,Kimmeridgian,157.3,1
,Phanerozoic,Mesozoic,Jurassic,Late,Oxfordian,163.5,1
,Phanerozoic,Mesozoic,Jurassic,Middle,Callovian,166.1,1.2
,Phanerozoic,Mesozoic,Jurassic,Middle,Bathonian,168.3,1.3
,Phanerozoic,Mesozoic,Jurassic,Middle,Bajocian,170.3,1.4
